timestamp,endpoint,http_code,time_total
20260322-184243,api,200,0.235008
20260322-184244,api,200,0.246191
20260322-184245,api,200,0.231992
20260322-184246,api,200,0.237661
20260322-184248,api,200,0.227914
20260322-184249,api,200,0.328900
20260322-184250,api,200,0.172328
20260322-184252,api,200,0.162985
20260322-184253,api,200,0.315411
20260322-184254,api,200,0.212148
20260322-184255,api,200,0.255685
20260322-184257,api,200,0.278850
20260322-184258,api,200,0.270491
20260322-184259,api,200,0.221247
20260322-184301,api,200,0.258871
20260322-184302,api,200,0.242727
20260322-184303,api,200,0.233029
20260322-184304,api,200,0.245862
20260322-184306,api,200,0.178233
20260322-184307,api,200,0.257547
20260322-184308,api,200,0.265985
20260322-184310,api,200,0.234831
20260322-184311,api,200,0.250109
20260322-184312,api,200,0.322832
20260322-184314,api,200,0.270454
20260322-184315,api,200,0.254026
20260322-184316,api,200,0.272341
20260322-184318,api,200,0.235948
20260322-184319,api,200,0.239685
20260322-184320,api,200,0.182315
20260322-184321,api,200,0.189987
20260322-184323,api,200,0.241680
20260322-184324,api,200,0.265681
20260322-184325,api,200,0.244167
20260322-184326,api,200,0.242480
20260322-184328,api,200,0.251107
20260322-184329,api,200,0.188455
20260322-184330,api,200,0.245862
20260322-184332,api,200,0.286947
20260322-184333,api,200,0.228580
20260322-184334,api,200,0.266812
20260322-184336,api,200,0.239107
20260322-184337,api,200,0.245951
20260322-184338,api,200,0.187215
20260322-184339,api,200,0.253525
20260322-184341,api,200,0.246036
20260322-184342,api,200,0.260991
20260322-184343,api,200,0.275592
20260322-184345,api,200,0.261002
20260322-184346,api,200,0.238552
20260322-184347,api,200,0.245283
20260322-184348,api,200,0.262585
20260322-184350,api,200,0.278170
20260322-184351,api,200,0.182077
20260322-184352,api,200,0.252117
20260322-184354,api,200,0.245971
20260322-184355,api,200,0.332455
20260322-184356,api,200,0.228164
20260322-184358,api,200,0.192523
20260322-184359,api,200,0.250263
20260322-184400,api,200,0.287297
20260322-184401,api,200,0.252690
20260322-184403,api,200,0.323627
20260322-184404,api,200,0.169524
20260322-184405,api,200,0.245781
20260322-184407,api,200,0.303035
20260322-184408,api,200,0.178267
20260322-184409,api,200,0.303843
20260322-184411,api,200,0.304302
20260322-184412,api,200,0.230867
20260322-184413,api,200,0.313946
20260322-184415,api,200,0.289491
20260322-184416,api,200,0.259502
20260322-184417,api,200,0.265804
20260322-184419,api,200,0.223993
20260322-184420,api,200,0.233170
20260322-184421,api,200,0.165966
20260322-184422,api,200,0.227956
20260322-184424,api,200,0.309762
20260322-184425,api,200,0.291140
20260322-184426,api,200,0.250305
20260322-184428,api,200,0.237731
20260322-184429,api,200,0.258477
20260322-184430,api,200,0.246687
20260322-184432,api,200,0.246440
20260322-184433,api,200,0.251772
20260322-184434,api,200,0.238652
20260322-184436,api,200,0.311407
20260322-184437,api,200,0.164056
20260322-184438,api,200,0.290610
20260322-184440,api,200,0.285967
20260322-184441,api,200,0.238702
20260322-184442,api,200,0.229524
20260322-184444,api,200,0.336061
20260322-184445,api,200,0.260907
20260322-184446,api,200,0.182412
20260322-184447,api,200,0.233043
20260322-184449,api,200,0.313535
20260322-184450,api,200,0.369346
20260322-184452,api,200,0.260878
20260322-184453,api,200,0.356702
20260322-184454,api,200,0.297149
20260322-184456,api,200,0.349401
20260322-184457,api,200,0.233093
20260322-184458,api,200,0.233822
20260322-184500,api,200,0.239490
20260322-184501,api,200,0.288315
20260322-184502,api,200,0.234138
20260322-184504,api,200,0.232810
20260322-184505,api,200,0.233710
20260322-184506,api,200,0.298056
20260322-184508,api,200,0.230185
20260322-184509,api,200,0.279296
20260322-184510,api,200,0.258242
20260322-184512,api,200,0.299277
20260322-184513,api,200,0.194422
20260322-184514,api,200,0.361804
20260322-184516,api,200,0.184204
20260322-184517,api,200,0.240797
20260322-184518,api,200,0.245300
20260322-184519,api,200,0.167296
20260322-184521,api,200,0.189344
20260322-184522,api,200,0.296641
20260322-184523,api,200,0.266765
20260322-184525,api,200,0.259684
20260322-184526,api,200,0.222115
20260322-184527,api,200,0.246231
20260322-184529,api,200,0.254137
20260322-184530,api,200,0.336386
20260322-184531,api,200,0.248988
20260322-184533,api,200,0.168573
20260322-184534,api,200,0.241213
20260322-184535,api,200,0.236481
20260322-184536,api,200,0.235383
20260322-184538,api,200,0.332364
20260322-184539,api,200,0.242853
20260322-184540,api,200,0.174882
20260322-184542,api,200,0.189926
20260322-184543,api,200,0.172615
20260322-184544,api,200,0.293429
20260322-184546,api,200,0.185030
20260322-184547,api,200,0.250910
20260322-184548,api,200,0.246238
20260322-184549,api,200,0.337110
20260322-184551,api,200,0.219298
20260322-184552,api,200,0.281327
20260322-184553,api,200,0.252187
20260322-184555,api,200,0.277938
20260322-184556,api,200,0.184823
20260322-184557,api,200,0.226737
20260322-184559,api,200,0.241462
